group	query	matched_gene_id	match_type	gene_name	biotype	description	chromosome	gene_start	gene_end	strand	location	found_in_tpm	found_in_expression_matrix	gene_display_label	query_display
Writers	Smp_029240	Smp_029240	gene_id	PRMT1	protein_coding		SM_V10_3	15836938	15842294	+	SM_V10_3:15836938-15842294(+)	TRUE	TRUE	PRMT1 | Smp_029240	PRMT1 | Smp_029240
Writers	Smp_211290	Smp_211290	unmatched	Smp_211290	Unknown							FALSE	FALSE	Smp_211290	Smp_211290
Writers	Smp_070340	Smp_070340	gene_id	Smp_070340	protein_coding		SM_V10_Z	82012788	82029571	-	SM_V10_Z:82012788-82029571(-)	TRUE	TRUE	Smp_070340	Smp_070340
Writers	Smp_171150	Smp_171150	gene_id	Smp_171150	protein_coding		SM_V10_2	14052826	14071634	-	SM_V10_2:14052826-14071634(-)	TRUE	TRUE	Smp_171150	Smp_171150
Writers	Smp_025550	Smp_025550	gene_id	Smp_025550	protein_coding		SM_V10_Z	51802354	51811678	+	SM_V10_Z:51802354-51811678(+)	TRUE	TRUE	Smp_025550	Smp_025550
Readers	Smp_064830	Smp_064830	unmatched	Smp_064830	Unknown							FALSE	FALSE	Smp_064830	Smp_064830
Readers	Smp_081570	Smp_081570	unmatched	Smp_081570	Unknown							FALSE	FALSE	Smp_081570	Smp_081570
Readers	Smp_097090	Smp_097090	unmatched	Smp_097090	Unknown							FALSE	FALSE	Smp_097090	Smp_097090
Readers	Smp_150850	Smp_150850	gene_id	Smp_150850	protein_coding		SM_V10_4	27596432	27641490	-	SM_V10_4:27596432-27641490(-)	TRUE	TRUE	Smp_150850	Smp_150850
Readers	Smp_175680	Smp_175680	gene_id	Smp_175680	protein_coding		SM_V10_1	47676071	47693287	+	SM_V10_1:47676071-47693287(+)	TRUE	TRUE	Smp_175680	Smp_175680
Readers	Smp_027300	Smp_027300	gene_id	Smp_027300	protein_coding		SM_V10_4	40277370	40302193	+	SM_V10_4:40277370-40302193(+)	TRUE	TRUE	Smp_027300	Smp_027300
Readers	Smp_041760	Smp_041760	gene_id	Smp_041760	protein_coding		SM_V10_4	36736817	36756895	-	SM_V10_4:36736817-36756895(-)	TRUE	TRUE	Smp_041760	Smp_041760
Readers	Smp_079650	Smp_079650	gene_id	Smp_079650	protein_coding		SM_V10_1	60099716	60129470	+	SM_V10_1:60099716-60129470(+)	TRUE	TRUE	Smp_079650	Smp_079650
Readers	Smp_078280	Smp_078280	gene_id	Smp_078280	protein_coding		SM_V10_Z	41238413	41265993	+	SM_V10_Z:41238413-41265993(+)	TRUE	TRUE	Smp_078280	Smp_078280
Readers	Smp_130470	Smp_130470	gene_id	Smp_130470	protein_coding		SM_V10_Z	67112716	67162574	+	SM_V10_Z:67112716-67162574(+)	TRUE	TRUE	Smp_130470	Smp_130470
Readers	Smp_144550	Smp_144550	gene_id	Smp_144550	protein_coding		SM_V10_1	55938722	55946713	-	SM_V10_1:55938722-55946713(-)	TRUE	TRUE	Smp_144550	Smp_144550
Readers	Smp_149240	Smp_149240	gene_id	Smp_149240	protein_coding		SM_V10_6	15668944	15682969	-	SM_V10_6:15668944-15682969(-)	TRUE	TRUE	Smp_149240	Smp_149240
Readers	Smp_174840	Smp_174840	unmatched	Smp_174840	Unknown							FALSE	FALSE	Smp_174840	Smp_174840
Readers	Smp_179650	Smp_179650	gene_id	Smp_179650	protein_coding		SM_V10_2	42397649	42399894	+	SM_V10_2:42397649-42399894(+)	TRUE	TRUE	Smp_179650	Smp_179650
Readers	Smp_006250	Smp_006250	gene_id	Smp_006250	protein_coding		SM_V10_Z	24994897	25008967	-	SM_V10_Z:24994897-25008967(-)	TRUE	TRUE	Smp_006250	Smp_006250
Readers	Smp_074050	Smp_074050	gene_id	Smp_074050	protein_coding		SM_V10_3	14968867	14981290	-	SM_V10_3:14968867-14981290(-)	TRUE	TRUE	Smp_074050	Smp_074050
Readers	Smp_159100	Smp_159100	gene_id	Smp_159100	protein_coding		SM_V10_Z	38200353	38228135	-	SM_V10_Z:38200353-38228135(-)	TRUE	TRUE	Smp_159100	Smp_159100
Readers	Smp_041750	Smp_041750	gene_id	Smp_041750	protein_coding		SM_V10_4	36767854	36786418	+	SM_V10_4:36767854-36786418(+)	TRUE	TRUE	Smp_041750	Smp_041750
Readers	Smp_105690	Smp_105690	gene_id	Smp_105690	protein_coding		SM_V10_3	4816317	4824711	+	SM_V10_3:4816317-4824711(+)	TRUE	TRUE	Smp_105690	Smp_105690
Readers	Smp_125340	Smp_125340	gene_id	Smp_125340	protein_coding		SM_V10_7	14368007	14409982	+	SM_V10_7:14368007-14409982(+)	TRUE	TRUE	Smp_125340	Smp_125340
Readers	Smp_137060	Smp_137060	unmatched	Smp_137060	Unknown							FALSE	FALSE	Smp_137060	Smp_137060
Readers	Smp_154860	Smp_154860	unmatched	Smp_154860	Unknown							FALSE	FALSE	Smp_154860	Smp_154860
Readers	Smp_163470	Smp_163470	unmatched	Smp_163470	Unknown							FALSE	FALSE	Smp_163470	Smp_163470
Readers	Smp_170390	Smp_170390	gene_id	Smp_170390	protein_coding		SM_V10_2	44430357	44485872	+	SM_V10_2:44430357-44485872(+)	TRUE	TRUE	Smp_170390	Smp_170390
Erasers	Smp_150560	Smp_150560	gene_id	Smp_150560	protein_coding		SM_V10_5	9773808	9801052	+	SM_V10_5:9773808-9801052(+)	TRUE	TRUE	Smp_150560	Smp_150560
Erasers	Smp_160810	Smp_160810	gene_id	Smp_160810	protein_coding		SM_V10_1	30993683	31006348	-	SM_V10_1:30993683-31006348(-)	TRUE	TRUE	Smp_160810	Smp_160810
Erasers	Smp_162940	Smp_162940	gene_id	Smp_162940	protein_coding		SM_V10_Z	82627815	82646793	-	SM_V10_Z:82627815-82646793(-)	TRUE	TRUE	Smp_162940	Smp_162940
Erasers	Smp_161400	Smp_161400	gene_id	Smp_161400	protein_coding		SM_V10_1	69695479	69742579	+	SM_V10_1:69695479-69742579(+)	TRUE	TRUE	Smp_161400	Smp_161400
Erasers	Smp_132170	Smp_132170	gene_id	Smp_132170	protein_coding		SM_V10_Z	47706642	47731933	+	SM_V10_Z:47706642-47731933(+)	TRUE	TRUE	Smp_132170	Smp_132170
Erasers	Smp_147870	Smp_147870	unmatched	Smp_147870	Unknown							FALSE	FALSE	Smp_147870	Smp_147870
Erasers	Smp_137240	Smp_137240	unmatched	Smp_137240	Unknown							FALSE	FALSE	Smp_137240	Smp_137240
Erasers	Smp_196270	Smp_196270	unmatched	Smp_196270	Unknown							FALSE	FALSE	Smp_196270	Smp_196270
Erasers	Smp_156290	Smp_156290	gene_id	Smp_156290	protein_coding		SM_V10_3	28958068	28998845	+	SM_V10_3:28958068-28998845(+)	TRUE	TRUE	Smp_156290	Smp_156290
Erasers	Smp_019170	Smp_019170	gene_id	Smp_019170	protein_coding		SM_V10_1	46220125	46249289	-	SM_V10_1:46220125-46249289(-)	TRUE	TRUE	Smp_019170	Smp_019170
Erasers	Smp_034000	Smp_034000	gene_id	Smp_034000	protein_coding		SM_V10_1	36564572	36601617	-	SM_V10_1:36564572-36601617(-)	TRUE	TRUE	Smp_034000	Smp_034000
Erasers	Smp_128500	Smp_128500	unmatched	Smp_128500	Unknown							FALSE	FALSE	Smp_128500	Smp_128500
Erasers	Smp_180990	Smp_180990	unmatched	Smp_180990	Unknown							FALSE	FALSE	Smp_180990	Smp_180990
