group	query	query_display	gene_id	gene_name	gene_display_label	biotype	description	chromosome	gene_start	gene_end	strand	location	found_in_tpm	found_in_expression_matrix	n_samples	mean_TPM	median_TPM	max_TPM	fraction_samples_TPM_gt1	n_datasets	n_batches	n_tissues	context_with_highest_expression	n_deg_records	n_significant_contrasts	n_deg_projects	n_deg_modes	max_abs_log2FC	min_padj
Erasers	Smp_162940	Smp_162940	Smp_162940	Smp_162940	Smp_162940	protein_coding		SM_V10_Z	82627815	82646793	-	SM_V10_Z:82627815-82646793(-)	TRUE	TRUE	75	10.917761426666667	11.145941	23.423697	0.9866666666666667	1	1	1	PRJEB32839 | not_declared | sporocyst_32d_mixed | sporocyst_32d | whole_organism | mixed	12	4	1	1	2.93666868345045	3.33862465428863e-44
Erasers	Smp_180990	Smp_180990	Smp_180990	Smp_180990	Smp_180990	Unknown							FALSE	FALSE										0	0	0	0		
Erasers	Smp_196270	Smp_196270	Smp_196270	Smp_196270	Smp_196270	Unknown							FALSE	FALSE										0	0	0	0		
Grupo HP1	Smp_001500	Smp_001500	Smp_001500	Smp_001500	Smp_001500	protein_coding		SM_V10_2	21396123	21400220	+	SM_V10_2:21396123-21400220(+)	TRUE	TRUE	75	205.49991616	206.546516	333.446481	1	1	1	1	PRJEB32839 | not_declared | sporocyst_5d_mixed | sporocyst_5d | whole_organism | mixed	12	2	1	1	2.27693812493369	1.06340538280323e-15
Grupo HP1	Smp_179650	Smp_179650	Smp_179650	Smp_179650	Smp_179650	protein_coding		SM_V10_2	42397649	42399894	+	SM_V10_2:42397649-42399894(+)	TRUE	TRUE	75	835.0246279066666	787.962474	1443.483741	1	1	1	1	PRJEB32839 | not_declared | sporocyst_32d_mixed | sporocyst_32d | whole_organism | mixed	12	2	1	1	1.42224947638734	2.51301276318783e-16
Readers	Smp_006250	Smp_006250	Smp_006250	Smp_006250	Smp_006250	protein_coding		SM_V10_Z	24994897	25008967	-	SM_V10_Z:24994897-25008967(-)	TRUE	TRUE	75	43.53183962666667	42.289163	85.152121	0.9866666666666667	1	1	1	PRJEB32839 | not_declared | sporocyst_32d_male | sporocyst_32d | whole_organism | male	12	1	1	1	1.06696859104434	9.66391017404403e-6
Readers	Smp_027300	Smp_027300	Smp_027300	Smp_027300	Smp_027300	protein_coding		SM_V10_4	40277370	40302193	+	SM_V10_4:40277370-40302193(+)	TRUE	TRUE	75	24.016721613333335	26.805519	51.951004	1	1	1	1	PRJEB32839 | not_declared | schistosomulum_2d_mixed | schistosomulum_2d | whole_organism | mixed	12	2	1	1	1.72190824413906	8.61319029571044e-26
Readers	Smp_041750	Smp_041750	Smp_041750	Smp_041750	Smp_041750	protein_coding		SM_V10_4	36767854	36786418	+	SM_V10_4:36767854-36786418(+)	TRUE	TRUE	75	26.744892826666668	24.771554	52.536998	0.9866666666666667	1	1	1	PRJEB32839 | not_declared | juvenile_26d_female | juvenile_26d | whole_organism | female	12	0	1	1	0.616871836434235	0.0378762294277404
Readers	Smp_041760	Smp_041760	Smp_041760	Smp_041760	Smp_041760	protein_coding		SM_V10_4	36736817	36756895	-	SM_V10_4:36736817-36756895(-)	TRUE	TRUE	75	61.14066584	55.769681	141.997566	1	1	1	1	PRJEB32839 | not_declared | schistosomulum_2d_female | schistosomulum_2d | whole_organism | female	12	3	1	1	1.47358511346401	4.85231586410853e-7
Readers	Smp_064830	Smp_064830	Smp_064830	Smp_064830	Smp_064830	Unknown							FALSE	FALSE										0	0	0	0		
Readers	Smp_074050	Smp_074050	Smp_074050	Smp_074050	Smp_074050	protein_coding		SM_V10_3	14968867	14981290	-	SM_V10_3:14968867-14981290(-)	TRUE	TRUE	75	19.342257226666668	18.850249	40.118813	0.9866666666666667	1	1	1	PRJEB32839 | not_declared | schistosomulum_2d_female | schistosomulum_2d | whole_organism | female	12	0	1	1	0.986377157087979	3.156022958895e-4
Readers	Smp_078280	Smp_078280	Smp_078280	Smp_078280	Smp_078280	protein_coding		SM_V10_Z	41238413	41265993	+	SM_V10_Z:41238413-41265993(+)	TRUE	TRUE	75	8.793284133333334	8.494643	20.184764	0.9866666666666667	1	1	1	PRJEB32839 | not_declared | sporocyst_32d_male | sporocyst_32d | whole_organism | male	12	1	1	1	1.4920920042241	1.98506036907082e-13
Readers	Smp_079650	Smp_079650	Smp_079650	Smp_079650	Smp_079650	protein_coding		SM_V10_1	60099716	60129470	+	SM_V10_1:60099716-60129470(+)	TRUE	TRUE	75	46.178795120000004	42.282399	91.713593	0.9866666666666667	1	1	1	PRJEB32839 | not_declared | juvenile_26d_female | juvenile_26d | whole_organism | female	12	0	1	1	0.801490501309528	0.00438281769806935
Readers	Smp_081570	Smp_081570	Smp_081570	Smp_081570	Smp_081570	Unknown							FALSE	FALSE										0	0	0	0		
Readers	Smp_097090	Smp_097090	Smp_097090	Smp_097090	Smp_097090	Unknown							FALSE	FALSE										0	0	0	0		
Readers	Smp_105690	Smp_105690	Smp_105690	Smp_105690	Smp_105690	protein_coding		SM_V10_3	4816317	4824711	+	SM_V10_3:4816317-4824711(+)	TRUE	TRUE	75	15.69786052	16.254142	26.694344	0.9866666666666667	1	1	1	PRJEB32839 | not_declared | juvenile_26d_female | juvenile_26d | whole_organism | female	12	0	1	1	0.400784913077055	0.0801965550820459
Readers	Smp_125340	Smp_125340	Smp_125340	Smp_125340	Smp_125340	protein_coding		SM_V10_7	14368007	14409982	+	SM_V10_7:14368007-14409982(+)	TRUE	TRUE	75	20.995234906666667	19.306179999999998	37.847771	0.9866666666666667	1	1	1	PRJEB32839 | not_declared | juvenile_26d_female | juvenile_26d | whole_organism | female	12	0	1	1	0.671255889013666	0.0922611236730317
Readers	Smp_130470	Smp_130470	Smp_130470	Smp_130470	Smp_130470	protein_coding		SM_V10_Z	67112716	67162574	+	SM_V10_Z:67112716-67162574(+)	TRUE	TRUE	75	12.676826053333333	12.373655	24.662846000000002	0.9733333333333334	1	1	1	PRJEB32839 | not_declared | juvenile_26d_female | juvenile_26d | whole_organism | female	12	1	1	1	1.09090880829549	0.00105252742591121
Readers	Smp_137060	Smp_137060	Smp_137060	Smp_137060	Smp_137060	Unknown							FALSE	FALSE										0	0	0	0		
Readers	Smp_144550	Smp_144550	Smp_144550	Smp_144550	Smp_144550	protein_coding		SM_V10_1	55938722	55946713	-	SM_V10_1:55938722-55946713(-)	TRUE	TRUE	75	14.942250853333334	13.350106	50.515974	0.9866666666666667	1	1	1	PRJEB32839 | not_declared | egg_mixed | egg | whole_organism | mixed	12	3	1	1	1.15947444926227	2.23439853216268e-5
Readers	Smp_149240	Smp_149240	Smp_149240	Smp_149240	Smp_149240	protein_coding		SM_V10_6	15668944	15682969	-	SM_V10_6:15668944-15682969(-)	TRUE	TRUE	75	10.477008933333334	9.542221	28.832116	0.9733333333333334	1	1	1	PRJEB32839 | not_declared | schistosomulum_2d_female | schistosomulum_2d | whole_organism | female	12	5	1	1	1.34419072548946	3.12562946470344e-5
Readers	Smp_150850	Smp_150850	Smp_150850	Smp_150850	Smp_150850	protein_coding		SM_V10_4	27596432	27641490	-	SM_V10_4:27596432-27641490(-)	TRUE	TRUE	75	20.465600573333333	21.376895	39.327978	0.9733333333333334	1	1	1	PRJEB32839 | not_declared | schistosomulum_2d_female | schistosomulum_2d | whole_organism | female	12	0	1	1	0.709100914789971	0.0180362274743867
Readers	Smp_154860	Smp_154860	Smp_154860	Smp_154860	Smp_154860	Unknown							FALSE	FALSE										0	0	0	0		
Readers	Smp_159100	Smp_159100	Smp_159100	Smp_159100	Smp_159100	protein_coding		SM_V10_Z	38200353	38228135	-	SM_V10_Z:38200353-38228135(-)	TRUE	TRUE	75	41.07811117333333	42.874462	100.48502	1	1	1	1	PRJEB32839 | not_declared | sporocyst_5d_mixed | sporocyst_5d | whole_organism | mixed	12	2	1	1	1.14905462766113	4.68944011355408e-6
Readers	Smp_163470	Smp_163470	Smp_163470	Smp_163470	Smp_163470	Unknown							FALSE	FALSE										0	0	0	0		
Readers	Smp_170390	Smp_170390	Smp_170390	Smp_170390	Smp_170390	protein_coding		SM_V10_2	44430357	44485872	+	SM_V10_2:44430357-44485872(+)	TRUE	TRUE	75	17.89013672	14.803813	53.386292	0.9866666666666667	1	1	1	PRJEB32839 | not_declared | egg_mixed | egg | whole_organism | mixed	12	1	1	1	1.00167402439802	5.8161272421796e-10
Readers	Smp_174840	Smp_174840	Smp_174840	Smp_174840	Smp_174840	Unknown							FALSE	FALSE										0	0	0	0		
Readers	Smp_175680	Smp_175680	Smp_175680	Smp_175680	Smp_175680	protein_coding		SM_V10_1	47676071	47693287	+	SM_V10_1:47676071-47693287(+)	TRUE	TRUE	75	17.878328213333333	16.352391	26.796928	1	1	1	1	PRJEB32839 | not_declared | schistosomulum_2d_female | schistosomulum_2d | whole_organism | female	12	1	1	1	1.14073155625356	1.90783198863608e-8
Readers	Smp_179650	Smp_179650	Smp_179650	Smp_179650	Smp_179650	protein_coding		SM_V10_2	42397649	42399894	+	SM_V10_2:42397649-42399894(+)	TRUE	TRUE	75	835.0246279066666	787.962474	1443.483741	1	1	1	1	PRJEB32839 | not_declared | sporocyst_32d_mixed | sporocyst_32d | whole_organism | mixed	12	2	1	1	1.42224947638734	2.51301276318783e-16
Writers	Smp_029240	PRMT1 | Smp_029240	Smp_029240	PRMT1	PRMT1 | Smp_029240	protein_coding		SM_V10_3	15836938	15842294	+	SM_V10_3:15836938-15842294(+)	TRUE	TRUE	75	339.3404409066667	298.932004	850.981199	1	1	1	1	PRJEB32839 | not_declared | sporocyst_32d_mixed | sporocyst_32d | whole_organism | mixed	12	1	1	1	2.37378187976197	2.72862039610047e-43
Writers	Smp_000700	Smp_000700	Smp_000700	Smp_000700	Smp_000700	protein_coding		SM_V10_3	36205102	36222187	+	SM_V10_3:36205102-36222187(+)	TRUE	TRUE	75	16.671537493333332	14.596401	38.445735	0.9866666666666667	1	1	1	PRJEB32839 | not_declared | juvenile_26d_female | juvenile_26d | whole_organism | female	12	1	1	1	1.2327884590729	1.12992287201737e-18
Writers	Smp_025550	Smp_025550	Smp_025550	Smp_025550	Smp_025550	protein_coding		SM_V10_Z	51802354	51811678	+	SM_V10_Z:51802354-51811678(+)	TRUE	TRUE	75	21.22593064	21.624332	41.262181999999996	1	1	1	1	PRJEB32839 | not_declared | egg_mixed | egg | whole_organism | mixed	12	0	1	1	0.974436365817868	2.36525495055447e-12
Writers	Smp_027300	Smp_027300	Smp_027300	Smp_027300	Smp_027300	protein_coding		SM_V10_4	40277370	40302193	+	SM_V10_4:40277370-40302193(+)	TRUE	TRUE	75	24.016721613333335	26.805519	51.951004	1	1	1	1	PRJEB32839 | not_declared | schistosomulum_2d_mixed | schistosomulum_2d | whole_organism | mixed	12	2	1	1	1.72190824413906	8.61319029571044e-26
Writers	Smp_043580	Smp_043580	Smp_043580	Smp_043580	Smp_043580	protein_coding		SM_V10_5	12795039	12798329	+	SM_V10_5:12795039-12798329(+)	TRUE	TRUE	75	16.883259	18.339242	29.649769	1	1	1	1	PRJEB32839 | not_declared | cercaria_female | cercaria | whole_organism | female	12	2	1	1	1.88691702147808	3.57261768529259e-35
Writers	Smp_055310	Smp_055310	Smp_055310	Smp_055310	Smp_055310	protein_coding		SM_V10_3	47336079	47349220	-	SM_V10_3:47336079-47349220(-)	TRUE	TRUE	75	23.12611384	17.167997	77.773691	0.9866666666666667	1	1	1	PRJEB32839 | not_declared | sporocyst_32d_female | sporocyst_32d | whole_organism | female	12	4	1	1	2.96256082037102	3.83999305537579e-93
Writers	Smp_062530	Smp_062530	Smp_062530	Smp_062530	Smp_062530	protein_coding		SM_V10_4	33251319	33259978	-	SM_V10_4:33251319-33259978(-)	TRUE	TRUE	75	42.126717586666665	41.985879	88.212559	0.9866666666666667	1	1	1	PRJEB32839 | not_declared | schistosomulum_2d_female | schistosomulum_2d | whole_organism | female	12	1	1	1	1.20125666292087	2.60535489107563e-6
Writers	Smp_070170	Smp_070170	Smp_070170	Smp_070170	Smp_070170	protein_coding		SM_V10_4	32370279	32390207	+	SM_V10_4:32370279-32390207(+)	TRUE	TRUE	75	16.174195413333333	15.706276	33.542829	0.9866666666666667	1	1	1	PRJEB32839 | not_declared | juvenile_26d_female | juvenile_26d | whole_organism | female	12	0	1	1	0.448036224438657	0.177759222635137
Writers	Smp_070340	Smp_070340	Smp_070340	Smp_070340	Smp_070340	protein_coding		SM_V10_Z	82012788	82029571	-	SM_V10_Z:82012788-82029571(-)	TRUE	TRUE	75	57.148483133333336	58.451276	120.682011	0.9866666666666667	1	1	1	PRJEB32839 | not_declared | sporocyst_32d_male | sporocyst_32d | whole_organism | male	12	3	1	1	1.54208423561698	4.07572148609484e-13
Writers	Smp_078900	Smp_078900	Smp_078900	Smp_078900	Smp_078900	protein_coding		SM_V10_Z	85596879	85619894	+	SM_V10_Z:85596879-85619894(+)	TRUE	TRUE	75	13.562595893333333	15.086445	29.297083	0.9866666666666667	1	1	1	PRJEB32839 | not_declared | sporocyst_32d_mixed | sporocyst_32d | whole_organism | mixed	12	3	1	1	1.95558794712526	1.69185295772439e-21
Writers	Smp_121610	Smp_121610	Smp_121610	Smp_121610	Smp_121610	protein_coding		SM_V10_2	37922309	37929655	+	SM_V10_2:37922309-37929655(+)	TRUE	TRUE	75	17.294575906666665	19.10124	25.855445	1	1	1	1	PRJEB32839 | not_declared | schistosomulum_2d_mixed | schistosomulum_2d | whole_organism | mixed	12	0	1	1	0.728231873016687	1.81955297992063e-6
Writers	Smp_124950	Smp_124950	Smp_124950	Smp_124950	Smp_124950	Unknown							FALSE	FALSE										0	0	0	0		
Writers	Smp_131300	Smp_131300	Smp_131300	Smp_131300	Smp_131300	Unknown							FALSE	FALSE										0	0	0	0		
Writers	Smp_137060	Smp_137060	Smp_137060	Smp_137060	Smp_137060	Unknown							FALSE	FALSE										0	0	0	0		
Writers	Smp_138030	Smp_138030	Smp_138030	Smp_138030	Smp_138030	protein_coding		SM_V10_3	6666828	6673158	-	SM_V10_3:6666828-6673158(-)	TRUE	TRUE	75	39.98716136	36.071823	91.042092	0.9866666666666667	1	1	1	PRJEB32839 | not_declared | juvenile_26d_female | juvenile_26d | whole_organism | female	12	0	1	1	0.579308428910579	0.190897973408415
Writers	Smp_140390	Smp_140390	Smp_140390	Smp_140390	Smp_140390	protein_coding		SM_V10_1	37345367	37371436	-	SM_V10_1:37345367-37371436(-)	TRUE	TRUE	75	31.75911844	28.947241000000002	60.580308	1	1	1	1	PRJEB32839 | not_declared | schistosomulum_2d_female | schistosomulum_2d | whole_organism | female	12	1	1	1	1.39303130439909	2.63989088627075e-37
Writers	Smp_144180	Smp_144180	Smp_144180	Smp_144180	Smp_144180	protein_coding		SM_V10_1	75645071	75687933	+	SM_V10_1:75645071-75687933(+)	TRUE	TRUE	75	10.064255746666667	9.521887	19.631738	0.9733333333333334	1	1	1	PRJEB32839 | not_declared | schistosomulum_2d_female | schistosomulum_2d | whole_organism | female	12	0	1	1	0.971451920907641	0.00232232346597388
Writers	Smp_149380	Smp_149380	Smp_149380	Smp_149380	Smp_149380	protein_coding		SM_V10_6	18295057	18299803	-	SM_V10_6:18295057-18299803(-)	TRUE	TRUE	75	14.589307746666666	14.042926000000001	24.912039999999998	1	1	1	1	PRJEB32839 | not_declared | schistosomulum_2d_mixed | schistosomulum_2d | whole_organism | mixed	12	0	1	1	0.646533226669593	2.97428798365857e-4
Writers	Smp_150850	Smp_150850	Smp_150850	Smp_150850	Smp_150850	protein_coding		SM_V10_4	27596432	27641490	-	SM_V10_4:27596432-27641490(-)	TRUE	TRUE	75	20.465600573333333	21.376895	39.327978	0.9733333333333334	1	1	1	PRJEB32839 | not_declared | schistosomulum_2d_female | schistosomulum_2d | whole_organism | female	12	0	1	1	0.709100914789971	0.0180362274743867
Writers	Smp_160700	Smp_160700	Smp_160700	Smp_160700	Smp_160700	protein_coding		SM_V10_4	29548494	29578463	+	SM_V10_4:29548494-29578463(+)	TRUE	TRUE	75	16.60927192	14.727912	49.970221	0.9866666666666667	1	1	1	PRJEB32839 | not_declared | cercaria_female | cercaria | whole_organism | female	12	2	1	1	2.31109969352182	1.53651891510685e-20
Writers	Smp_161010	Smp_161010	Smp_161010	Smp_161010	Smp_161010	Unknown							FALSE	FALSE										0	0	0	0		
Writers	Smp_165000	Smp_165000	Smp_165000	Smp_165000	Smp_165000	protein_coding		SM_V10_6	7073719	7119095	-	SM_V10_6:7073719-7119095(-)	TRUE	TRUE	75	27.01311672	27.574455	44.340097	0.9866666666666667	1	1	1	PRJEB32839 | not_declared | juvenile_26d_female | juvenile_26d | whole_organism | female	12	0	1	1	0.909642719706097	8.4259326726023e-5
Writers	Smp_171150	Smp_171150	Smp_171150	Smp_171150	Smp_171150	protein_coding		SM_V10_2	14052826	14071634	-	SM_V10_2:14052826-14071634(-)	TRUE	TRUE	75	49.709442933333335	48.229524	92.375562	1	1	1	1	PRJEB32839 | not_declared | sporocyst_5d_mixed | sporocyst_5d | whole_organism | mixed	12	0	1	1	0.854413056245537	2.04300829876416e-10
Writers	Smp_210650	Smp_210650	Smp_210650	Smp_210650	Smp_210650	protein_coding		SM_V10_Z	35662022	35687306	-	SM_V10_Z:35662022-35687306(-)	TRUE	TRUE	75	28.417908986666667	27.517134	60.042629	0.9866666666666667	1	1	1	PRJEB32839 | not_declared | sporocyst_32d_male | sporocyst_32d | whole_organism | male	12	0	1	1	0.965680293125656	6.07016352943998e-4
Writers	Smp_210660	Smp_210660	Smp_210660	Smp_210660	Smp_210660	protein_coding		SM_V10_3	25772039	25798864	+	SM_V10_3:25772039-25798864(+)	TRUE	TRUE	75	25.455229506666665	25.33399	45.362316	0.9866666666666667	1	1	1	PRJEB32839 | not_declared | sporocyst_5d_mixed | sporocyst_5d | whole_organism | mixed	12	0	1	1	0.678771699429798	0.00315727920500981
Writers	Smp_211290	Smp_211290	Smp_211290	Smp_211290	Smp_211290	Unknown							FALSE	FALSE										0	0	0	0		
