gene_id	PRJNA602528__pzq_0h	PRJNA602528__pzq_0p25h	PRJNA602528__pzq_12h	PRJNA602528__pzq_1h	PRJNA602528__pzq_24h	PRJNA602528__pzq_3h	PRJNA602528__pzq_48h	PRJNA602528__pzq_6h	PRJNA602528__pzq_96h	PRJNA602528__pzq_9h
Smp_000870	3348.801	3348.1550000000007	3347.581	3348.323	3347.03	3347.065	3348.156	3347.303	3348.636	3347.679
Smp_000880	479.173	478.481	478.067	478.747	477.477	477.52	478.614	477.732	478.987	478.134
Smp_000900	1926.8010000000002	1926.1550000000002	1925.581	1926.323	1925.03	1925.0649999999998	1926.156	1925.303	1926.636	1925.679
Smp_000910	2381.801	2381.155	2380.581	2381.323	2380.03	2380.065	2381.156	2380.303	2381.636	2380.679
Smp_000950	2916.801	2916.155	2915.581	2916.3230000000003	2915.03	2915.065	2916.156	2915.303	2916.636	2915.679
Smp_000980	992.801	992.155	991.581	992.323	991.03	991.0650000000002	992.156	991.303	992.6359999999999	991.6789999999999
Smp_000990	3433.801	3433.155	3432.581	3433.323	3432.03	3432.0649999999996	3433.156	3432.303	3433.636	3432.679
Smp_001000	763.846	763.186	762.6509999999998	763.372	762.084	762.123	763.237	762.35	763.687	762.745
Smp_001020	2188.801	2188.155	2187.581	2188.323	2187.03	2187.065	2188.156	2187.303	2188.636	2187.679
Smp_001030	1662.801	1662.155	1661.581	1662.3229999999999	1661.03	1661.065	1662.156	1661.303	1662.636	1661.679
Smp_001040	4596.801	4596.155	4595.581	4596.323	4595.03	4595.065	4596.156	4595.303	4596.636	4595.679
Smp_001070	2041.801	2041.155	2040.581	2041.323	2040.03	2040.065	2041.1559999999997	2040.303	2041.636	2040.679
Smp_001080	405.308	404.601	404.367	404.94	403.859	403.686	404.833	403.93299999999994	405.132	404.319
Smp_001090	7901.801	7901.155	7900.581	7901.323	7900.030000000001	7900.065	7901.156	7900.303	7901.636000000001	7900.679
Smp_001095	1975.801	1975.1550000000002	1974.581	1975.323	1974.03	1974.0650000000003	1975.1559999999997	1974.303	1975.636	1974.679
Smp_001100	2753.8009999999995	2753.155	2752.581	2753.323	2752.0300000000007	2752.0650000000005	2753.156	2752.303	2753.636	2752.679
Smp_001120	588.083	587.394	586.933	587.65	586.372	586.429	587.503	586.632	587.9	587.035
Smp_001160	2168.801	2168.155	2167.581	2168.323	2167.03	2167.065	2168.156	2167.303	2168.636	2167.679
Smp_001170	3506.801	3506.1550000000007	3505.581	3506.323	3505.03	3505.065	3506.156	3505.3030000000003	3506.636	3505.679
Smp_001180	7507.801	7507.155	7506.581	7507.323	7506.03	7506.065	7507.156000000001	7506.303	7507.636	7506.679000000001
Smp_001210	3681.8009999999995	3681.155	3680.581	3681.323	3680.03	3680.0649999999996	3681.156	3680.303	3681.636	3680.679
Smp_001360	5175.801	5175.155	5174.581	5175.323	5174.03	5174.065	5175.156	5174.303	5175.636	5174.679
Smp_001390	5231.801	5231.155000000001	5230.581	5231.323000000001	5230.03	5230.065	5231.156	5230.303	5231.636	5230.679
Smp_001410	4112.801	4112.155	4111.581	4112.323	4111.03	4111.065	4112.156	4111.303	4112.636	4111.679
Smp_001420	2612.801	2612.155	2611.581	2612.323	2611.03	2611.065	2612.156	2611.303	2612.636	2611.679
Smp_001500	1193.801	1193.155	1192.581	1193.323	1192.03	1192.065	1193.156	1192.303	1193.636	1192.679
Smp_001530	2663.801	2663.155	2662.581	2663.323	2662.03	2662.065	2663.156	2662.303	2663.636	2662.679
Smp_001560	2541.801	2541.155	2540.581	2541.323	2540.03	2540.065	2541.156	2540.303	2541.636	2540.679
Smp_001590	1655.801	1655.155	1654.5810000000001	1655.323	1654.03	1654.065	1655.156	1654.303	1655.636	1654.679
Smp_001610	1088.801	1088.155	1087.581	1088.323	1087.03	1087.065	1088.156	1087.303	1088.636	1087.679
Smp_001640	416.294	415.589	415.349	415.9270000000001	414.84	414.67499999999995	415.816	414.917	416.118	415.302
Smp_001780	1705.801	1705.155	1704.581	1705.323	1704.03	1704.0650000000003	1705.156	1704.303	1705.636	1704.679
Smp_001830	435.276	434.564	434.31	434.896	433.799	433.656	434.7950000000001	433.892	435.094	434.28099999999995
Smp_001890	525.2426	525.2426	525.2426	525.2426	525.2426	525.2426	525.2426	525.2426	525.2426	525.2426
Smp_001900	5915.801000000001	5915.155	5914.581	5915.323	5914.03	5914.065	5915.156	5914.303	5915.636	5914.679
Smp_001940	1034.801	1034.155	1033.581	1034.323	1033.03	1033.065	1034.156	1033.303	1034.636	1033.679
Smp_001950	1859.801	1859.1550000000002	1858.581	1859.323	1858.03	1858.065	1859.156	1858.3030000000003	1859.6359999999997	1858.679
Smp_001960	2975.801	2975.155	2974.581	2975.323	2974.0300000000007	2974.065	2975.156	2974.303	2975.6360000000004	2974.679
Smp_001980	3580.8009999999995	3580.155	3579.581	3580.323	3579.0300000000007	3579.065	3580.156	3579.303	3580.6359999999995	3579.679
Smp_002010	639.053	638.353	637.89	638.617	637.335	637.389	638.47	637.594	638.875	637.991
Smp_002060	650.048	649.343	648.877	649.602	648.326	648.376	649.46	648.577	649.0652057095109	648.98
Smp_002070	452.20431422180206	452.534	452.214	452.828	452.20431422180206	451.6	452.20431422180206	451.82399999999996	452.20431422180206	452.227
Smp_002080	1398.801	1398.1549999999997	1397.581	1398.323	1397.03	1397.065	1398.156	1397.303	1398.636	1397.679
Smp_002100	1115.801	1115.155	1114.581	1115.323	1114.03	1114.065	1115.156	1114.303	1115.636	1114.679
Smp_002160	2881.801	2881.155	2880.581	2881.323	2880.03	2880.0649999999996	2881.156	2880.303	2881.636	2880.679
Smp_002180	711.947	711.271	710.741	711.455	710.174	710.236	711.34	710.438	711.761	710.853
Smp_002230	3829.801	3829.1549999999997	3828.5810000000006	3829.3229999999994	3828.0299999999997	3828.065	3829.156	3828.303	3829.636	3828.679
Smp_002280	3764.8009999999995	3764.155	3763.581	3764.323	3763.03	3763.065	3764.156	3763.303	3764.6360000000004	3763.679
Smp_002380	1090.801	1090.155	1089.581	1090.323	1089.03	1089.065	1090.156	1089.303	1090.636	1089.679
Smp_002410	809.81	809.161	808.597	809.33	808.042	808.072	809.169	808.309	809.647	808.692
Smp_002510	1287.801	1287.155	1286.581	1287.323	1286.03	1286.065	1287.156	1286.303	1287.636	1286.679
Smp_002550	552.103	551.421	550.966	551.668	550.4	550.447	551.529	550.655	551.925	551.055
Smp_002600	1600.8735988635997	1600.1803879889271	1599.679761502205	1600.4017005886851	1599.0914116909933	1599.224051405337	1600.1769268487833	1599.4533539998802	1600.7327452522284	1599.8385645482424
Smp_002630	877.3959671755962	877.3959671755962	877.3959671755962	877.3959671755962	877.3959671755962	877.3959671755962	877.156	877.3959671755962	877.6359999999999	877.3959671755962
Smp_002640	4149.801	4149.155	4148.581	4149.323	4148.03	4148.065	4149.156	4148.303	4149.636	4148.679
Smp_002740	919.801	919.155	918.581	919.3229999999999	918.03	918.065	919.156	918.3030000000001	919.636	918.679
Smp_002820	2470.801	2470.155	2469.581	2470.323	2469.03	2469.065	2470.156	2469.303	2470.636	2469.679
Smp_002840	2388.801	2388.155	2387.581	2388.323	2387.03	2387.065	2388.156	2387.303	2388.636	2387.679
Smp_002860	288.95000000000005	288.95000000000005	288.95000000000005	288.95000000000005	288.95000000000005	288.95000000000005	288.95	288.95000000000005	288.95000000000005	288.95000000000005
Smp_002870	1330.801	1330.1550000000002	1329.581	1330.323	1329.03	1329.065	1330.156	1329.3030000000003	1330.636	1329.679
Smp_002880	1668.801	1668.155	1667.581	1668.323	1667.03	1667.0650000000003	1668.156	1667.303	1668.636	1667.6789999999999
Smp_002920	1312.801	1312.155	1311.581	1312.323	1311.03	1311.065	1312.156	1311.303	1312.636	1311.679
Smp_002950	1159.801	1159.155	1158.581	1159.323	1158.03	1158.065	1159.156	1158.303	1159.636	1158.679
Smp_003000	4732.801	4732.155	4731.581	4732.323	4731.03	4731.065	4732.156	4731.303	4732.636	4731.679
Smp_003130	1451.801	1451.155	1450.581	1451.323	1450.03	1450.065	1451.156	1450.303	1451.636	1450.679
Smp_003140	2338.3734480968474	2318.060071745516	2371.587494434668	2343.5601488692773	2379.8998320408696	2342.5073800222985	2363.454732138056	2315.8960181029347	2340.198225589112	2312.383626123282
Smp_003190	735.902	735.235	734.696	735.421	734.128	734.179	735.287	734.402	735.728	734.808
Smp_003230	912.801	912.155	911.581	912.323	911.03	911.065	912.156	911.303	912.636	911.679
Smp_003250	4106.454794610575	4106.155	4105.581	4105.871176823963	4104.201271378942	4105.065	4105.864063183987	4105.303	4103.9874421207705	4105.306070228743
Smp_003270	2496.801	2496.155	2495.581	2496.323	2495.03	2495.0650000000005	2496.156	2495.303	2496.636	2495.679
Smp_003280	8413.801	8413.155	8412.581	8413.323	8412.03	8412.065	8413.156	8412.303	8413.636	8412.679
Smp_003300	1273.6359999999997	1273.6359999999997	1273.6359999999997	1273.6359999999997	1273.6359999999997	1273.6359999999997	1273.6359999999997	1273.6359999999997	1273.636	1273.6359999999997
Smp_003330	456.213	455.523	455.179	455.806	454.626	454.582	455.688	454.804	456.032	455.20699999999994
Smp_003340	3499.8010000000004	3499.155	3498.581	3499.323	3498.03	3498.065	3499.156	3498.303	3499.636	3498.679
Smp_003410	506.15099999999995	505.46000000000004	505.024	505.716	504.44	504.48900000000003	505.568	504.70200000000006	505.96299999999997	505.106
Smp_003440	1953.801	1953.155	1952.5809999999997	1953.323	1952.03	1952.065	1953.1559999999997	1952.303	1953.636	1952.679
Smp_003600	2307.801	2307.155	2306.581	2307.323	2306.03	2306.065	2307.156	2306.303	2307.636	2306.679
Smp_003610	2533.801	2533.155	2532.581	2533.323	2532.03	2532.065	2533.156	2532.303	2533.636	2532.679
Smp_003620	3027.8010000000004	3027.1549999999997	3026.581	3027.323	3026.03	3026.065	3027.156	3026.303	3027.636	3026.679
Smp_003630	3503.801	3503.155	3502.5810000000006	3503.323	3502.0299999999997	3502.065	3503.1559999999995	3502.303	3503.636	3502.679
Smp_003660	1329.801	1329.155	1328.581	1329.323	1328.03	1328.0650000000003	1329.156	1328.303	1329.636	1328.679
Smp_003670	1360.940484795864	1352.2446371210797	1356.2942944284903	1341.3459599902478	1350.209645410492	1347.7404366795429	1358.221033374619	1361.1021564472273	1360.1897577094992	1359.0298073655833
Smp_003700	1031.801	1031.155	1030.581	1031.323	1030.03	1030.065	1031.156	1030.303	1031.636	1030.679
Smp_003710	6739.801	6739.155	6738.581	6739.323	6738.03	6738.065	6739.156	6738.303	6739.636	6738.679
Smp_003770	643.052	642.349	641.886	642.612	641.333	641.385	642.467	641.587	642.869	641.985
Smp_003860	1695.801	1695.155	1694.581	1695.323	1694.03	1694.065	1695.1560000000002	1694.303	1695.636	1694.679
Smp_003900	5173.801	5173.155	5172.581	5173.323	5172.03	5172.065	5173.156	5172.303	5173.636	5172.679
Smp_003930	2536.801	2536.155	2535.581	2536.323	2535.03	2535.065	2536.156	2535.303	2536.636	2535.679
Smp_003940	1408.801	1408.155	1407.581	1408.3230000000003	1407.03	1407.0649999999998	1408.1559999999997	1407.303	1408.636	1407.679
Smp_003970	661.037	660.334	659.858	660.586	659.308	659.365	660.44	659.566	660.836	659.969
Smp_003980	7656.801000000001	7656.155000000001	7655.581	7656.323	7655.030000000001	7655.065	7656.156	7655.303	7656.636	7655.679
Smp_003990	1004.8009999999999	1004.155	1003.581	1004.323	1003.03	1003.065	1004.156	1003.303	1004.636	1003.6790000000001
Smp_004000	442.266	441.554	441.294	441.88400000000007	440.775	440.646	441.784	440.87699999999995	442.081	441.27
Smp_004060	2471.801	2471.155	2470.581	2471.323	2470.03	2470.065	2471.156	2470.303	2471.636	2470.679
Smp_004070	1493.801	1493.155	1492.581	1493.323	1492.03	1492.065	1493.156	1492.303	1493.636	1492.679
Smp_004080	2265.801	2265.155	2264.581	2265.323	2264.03	2264.065	2265.156	2264.303	2265.636	2264.679
Smp_004160	959.801	959.155	958.581	959.323	958.03	958.065	959.156	958.303	959.6360000000001	958.6790000000001
Smp_004170	9893.801	9893.155	9892.581	9893.323	9892.03	9892.065	9893.156	9892.303	9893.636	9892.679
Smp_004190	2276.801	2276.155	2275.581	2276.323	2275.03	2275.065	2276.156	2275.303	2276.636	2275.679
Smp_004200	1998.801	1998.1549999999997	1997.581	1998.323	1997.03	1997.0649999999998	1998.156	1997.3030000000003	1998.636	1997.679
Smp_004220	2114.801	2114.155	2113.581	2114.323	2113.03	2113.065	2114.156	2113.303	2114.636	2113.679
Smp_004260	1140.801	1140.155	1139.581	1140.323	1139.03	1139.065	1140.156	1139.303	1140.636	1139.679
Smp_004310	808.81	808.161	807.5980000000001	808.331	807.0430000000001	807.072	808.17	807.31	808.648	807.693
Smp_004350	1058.801	1058.155	1057.581	1058.323	1057.03	1057.065	1058.156	1057.303	1058.636	1057.679
Smp_004360	955.801	955.1550000000001	954.581	955.323	954.03	954.0650000000002	955.156	954.3029999999999	955.6359999999999	954.679
Smp_004420	953.801	953.155	952.581	953.323	952.03	952.065	953.1560000000001	952.303	953.636	952.679
Smp_004440	1594.8009999999997	1594.155	1593.581	1594.323	1593.03	1593.065	1594.156	1593.303	1594.636	1593.679
Smp_004470	1466.801	1466.155	1465.581	1466.323	1465.03	1465.065	1466.1559999999997	1465.303	1466.636	1465.679
Smp_004480	3464.992833779698	3441.40509231173	3475.297534694506	3472.48066226355	3461.5984291551326	3472.5445039189385	3469.1754067861025	3469.503991512135	3432.9657834525324	3481.4869414828113
Smp_004550	4517.801	4517.155	4516.581	4517.323	4516.03	4516.065	4517.156	4516.303	4517.636	4516.679
Smp_004590	3348.801	3348.155	3347.581	3348.323	3347.03	3347.065	3348.156	3347.303	3348.636	3347.6790000000005
Smp_004600	1577.801	1577.155	1576.581	1577.323	1576.03	1576.065	1577.156	1576.303	1577.6360000000002	1576.679
Smp_004630	5231.801	5231.840816065446	5230.580999999999	5233.231632146035	5230.03	5230.065	5231.560152882684	5231.966079934468	5231.636	5230.679
Smp_004640	1804.8010000000002	1804.155	1803.581	1804.323	1803.03	1803.065	1804.156	1803.303	1804.636	1803.679
Smp_004680	1554.801	1554.155	1553.581	1554.323	1553.03	1553.065	1554.156	1553.303	1554.636	1553.679
Smp_004690	1055.5415234011068	1242.7241505283116	956.306927624842	957.6785753967869	885.8137379976928	931.5643664877857	1036.327227259819	955.003824690984	1094.0440739337776	1022.816018901931
Smp_004710	27131.801	27131.155	27130.581	27131.323	27130.03	27130.065	27131.156	27130.303	27131.636	27130.679
Smp_004730	7973.801	7973.155	7972.580999999999	7973.323	7972.03	7972.065	7973.156	7972.303	7973.636	7972.679
Smp_004780	1279.801	1279.155	1278.581	1279.323	1278.03	1278.065	1279.156	1278.303	1279.636	1278.679
Smp_004810	1737.8009999999997	1737.155	1736.581	1737.323	1736.0299999999997	1736.065	1737.156	1736.303	1737.636	1736.679
Smp_004820	568.094	567.41	566.95	567.659	566.389	566.44	567.517	566.644	567.912	567.049
Smp_004910	2034.8009999999997	2034.155	2033.581	2034.323	2033.03	2033.065	2034.156	2033.3029999999999	2034.6359999999997	2033.679
Smp_004940	277.393	276.686	276.51	277.042	276.002	275.791	276.96	276.06	277.263	276.431
Smp_004990	1566.801	1566.155	1565.581	1566.323	1565.03	1565.065	1566.156	1565.303	1566.636	1565.679
Smp_005000	7251.801	7251.155	7250.581	7251.323	7250.029999999999	7250.065	7251.156	7250.303	7251.636	7250.679
Smp_005010	6949.801	6949.155	6948.581	6949.323	6948.03	6948.065	6949.155999999999	6948.303	6949.636	6948.679
Smp_005020	7452.801	7452.155	7451.581	7452.323	7451.03	7451.065	7452.155999999999	7451.303	7452.636	7451.679
Smp_005070	1148.2186612168903	1147.2314949580143	1146.1906976387127	1144.9231474968435	1147.7655743934968	1145.8046475152928	1149.1664169144908	1146.7496229676115	1151.4519468674903	1146.5898573872942
Smp_005080	1387.801	1387.155	1386.581	1387.323	1386.03	1386.065	1387.156	1386.303	1387.636	1386.679
Smp_005140	2666.801	2666.155	2665.581	2666.323	2665.03	2665.065	2666.156	2665.303	2666.636	2665.679
Smp_005160	3416.544954244816	3391.1975948638783	3544.388329536473	3455.4254292871233	3513.1353415773197	3441.162585864776	3419.047412178912	3455.4228919641887	3438.1232420350893	3438.2992912277273
Smp_005180	2055.801	2055.155	2054.581	2055.323	2054.03	2054.065	2055.156	2054.303	2055.636	2054.679
Smp_005190	4022.854440129112	4054.2534543787738	4074.803096648785	4023.1043488734344	4024.8491851127433	4067.834702604132	4014.9686085722115	4066.8329000124677	4031.8505068230056	4038.4655347148737
Smp_005210	4135.801	4135.155	4134.581	4135.323	4134.03	4134.065	4135.156	4134.303	4135.636	4134.679
Smp_005230	1422.801	1422.155	1421.581	1422.323	1421.03	1421.065	1422.156	1421.303	1422.636	1421.679
Smp_005260	796.6929943883855	822.1797521230627	861.099307045257	799.6923340554017	878.1498603125607	807.9368889291344	886.2234392361493	820.6308939417293	1048.6130796158013	838.8068113046189
Smp_005280	2832.801	2832.155	2831.5809999999997	2832.323	2831.03	2831.065	2832.156	2831.303	2832.636	2831.679
Smp_005290	1025.801	1025.155	1024.581	1025.323	1024.03	1024.065	1025.156	1024.303	1025.636	1024.679
Smp_005320	3612.801	3612.155	3611.5810000000006	3612.323	3611.03	3611.065	3612.1559999999995	3611.303	3612.636	3611.679
Smp_005330	2070.801	2070.155	2069.581	2070.323	2069.03	2069.065	2070.156	2069.303	2070.636	2069.679
Smp_005390	4391.801	4391.155	4390.581	4391.323	4390.03	4390.065	4391.156	4390.303	4391.636	4390.679
Smp_005470	574.089	573.405	572.946	573.656	572.383	572.437	573.514	572.639	573.908	573.046
Smp_005500	3051.801	3051.155	3050.581	3051.3229999999994	3050.03	3050.065	3051.156	3050.303	3051.636	3050.6789999999996
Smp_005520	1642.801	1642.155	1641.581	1642.323	1641.03	1641.065	1642.156	1641.303	1642.6359999999997	1641.679
Smp_005640	2440.801	2440.155	2439.581	2440.323	2439.03	2439.065	2440.156	2439.303	2440.636	2439.679
Smp_005670	1747.801	1747.155	1746.581	1747.323	1746.03	1746.0649999999998	1747.156	1746.303	1747.636	1746.679
Smp_005720	2031.8010000000002	2031.155	2030.581	2031.323	2030.03	2030.0649999999998	2031.156	2030.303	2031.636	2030.679
Smp_005780	1936.801	1936.1549999999997	1935.5810000000001	1936.323	1935.03	1935.065	1936.156	1935.303	1936.636	1935.679
Smp_005790	1437.801	1437.155	1436.581	1437.323	1436.03	1436.065	1437.156	1436.303	1437.636	1436.679
Smp_005880	6456.801	6456.155	6455.580999999999	6456.323	6455.03	6455.065	6456.156	6455.303	6456.6359999999995	6455.679
Smp_005900	3654.801	3654.155	3653.581	3654.3230000000003	3653.0299999999997	3653.065	3654.156	3653.303	3654.636	3653.679
Smp_005910	1027.801	1027.155	1026.581	1027.323	1026.03	1026.065	1027.156	1026.303	1027.636	1026.679
Smp_005960	4395.801	4395.155	4394.581	4395.323	4394.03	4394.065	4395.156	4394.303	4395.636	4394.679
Smp_006000	993.801	993.1549999999999	992.581	993.323	992.0300000000001	992.065	993.156	992.303	993.636	992.6790000000001
Smp_006060	1278.801	1278.155	1277.581	1278.323	1277.03	1277.065	1278.156	1277.303	1278.636	1277.679
Smp_006190	1313.801	1313.155	1312.581	1313.323	1312.03	1312.065	1313.156	1312.303	1313.636	1312.679
Smp_006195	615.067	614.373	613.916	614.636	613.351	613.406	614.485	613.619	614.886	614.017
Smp_006250	2816.801	2816.155	2815.581	2816.323	2815.03	2815.065	2816.156	2815.303	2816.636	2815.679
Smp_006320	1064.813094923639	1049.0414735271029	1058.4060741904784	1065.3519101385486	1047.5761985995161	1058.8777212294178	1068.351338227091	1063.7287771171461	1081.8637049774622	1054.896290775961
Smp_006340	625.065	624.368	623.909	624.627	623.347	623.398	624.478	623.612	624.882	624.005
Smp_006350	8129.801	8129.155000000001	8128.581	8129.323000000001	8128.030000000001	8128.065	8129.155999999999	8128.303	8129.636000000001	8128.679
Smp_006390	271.398	270.689	270.521	271.049	270.011	269.799	270.965	270.066	271.271	270.437
Smp_006440	2318.801	2318.155	2317.581	2318.323	2317.03	2317.065	2318.156	2317.303	2318.636	2317.679
Smp_006550	649.049	648.343	647.877	648.603	647.327	647.377	648.462	647.579	648.856	647.981
Smp_006560	736.901	736.233	735.696	736.419	735.127	735.177	736.285	735.4	736.727	735.805
Smp_006590	1465.801	1465.1549999999997	1464.581	1465.323	1464.03	1464.065	1465.156	1464.303	1465.636	1464.679
Smp_006630	3967.801	3967.155	3966.581	3967.323	3966.03	3966.065	3967.1559999999995	3966.303	3967.6360000000004	3966.6789999999996
Smp_006680	1635.801	1635.155	1634.581	1635.323	1634.03	1634.0649999999998	1635.156	1634.303	1635.636	1634.679
